X;Y
7110000;8.839105536395664E-7
7120000;8.825846302684681E-7
7130000;8.820026451417107E-7
7140000;8.793349781655024E-7
7150000;8.779180147300281E-7
7160000;8.768780856982517E-7
7170000;8.766692705108881E-7
7180000;8.753750053713816E-7
7190000;8.737138115222365E-7
7200000;8.720507613801942E-7
7210000;8.723021407419651E-7
7220000;8.702743663491219E-7
7230000;8.69939201564307E-7
7240000;8.68216305072167E-7
7250000;8.651670668768929E-7
7260000;8.666078654684384E-7
7270000;8.635748143248634E-7
7280000;8.63309841392379E-7
7290000;8.605788055504604E-7
7300000;8.623412810493392E-7
7310000;8.607534445204124E-7
7320000;8.595531495458886E-7
7330000;8.579467420943843E-7
7340000;8.558340027775557E-7
7350000;8.556952213467639E-7
7360000;8.54533955596537E-7
7370000;8.528762869275397E-7
7380000;8.516746836662037E-7
7390000;8.503034791829123E-7
7400000;8.473443200429642E-7
7410000;8.491234302354655E-7
7420000;8.476710160465473E-7
7430000;8.44662804588836E-7
7440000;8.455200903867421E-7
7450000;8.45335769383837E-7
7460000;8.425288084978888E-7
7470000;8.42945095058667E-7
7480000;8.390859624896052E-7
7490000;8.39710262212634E-7
7500000;8.364904564572839E-7
7510000;8.381848450866869E-7
7520000;8.350689180147697E-7
7530000;8.341075519169294E-7
7540000;8.343688389089721E-7
7550000;8.327223035564657E-7
7560000;8.301967726609405E-7
7570000;8.283409727027902E-7
7580000;8.312356953865674E-7
7590000;8.291306503593887E-7
7600000;8.275321734529939E-7
7610000;8.250865803915985E-7
7620000;8.257418855350807E-7
7630000;8.229196080122847E-7
7640000;8.225958234575614E-7
7650000;8.210270951991561E-7
7660000;8.209498467692811E-7
7670000;8.189730991148281E-7
7680000;8.199589824897657E-7
7690000;8.160370725818211E-7
7700000;8.142302156954884E-7
7710000;8.13906443575263E-7
7720000;8.156228608058314E-7
7730000;8.113286744659831E-7
7740000;8.121792287596463E-7
7750000;8.107918700872574E-7
7760000;8.082316895752228E-7
7770000;8.08085181880358E-7
7780000;8.078007773804075E-7
7790000;8.049532453924257E-7
7800000;8.058461142823603E-7
7810000;8.044831076858827E-7
7820000;8.051948920950736E-7
7830000;8.018461636893903E-7
7840000;8.01052872034802E-7
7850000;8.019274906345686E-7
7860000;7.98742260776919E-7
7870000;7.960242065507828E-7
7880000;7.984681760220269E-7
7890000;7.95744609760618E-7
7900000;7.945787974250607E-7
7910000;7.940775210713014E-7
7920000;7.953343086342102E-7
7930000;7.933201304766158E-7
7940000;7.925807610220659E-7
7950000;7.908729138250692E-7
7960000;7.897996363581683E-7
7970000;7.887382338367388E-7
7980000;7.879369885444021E-7
7990000;7.860004451742952E-7
8000000;7.853730368267975E-7
8010000;7.839680415955286E-7
8020000;7.84574234025115E-7
8030000;7.835093587260644E-7
8040000;7.833467323692389E-7
8050000;7.790731793022587E-7
8060000;7.778084141207842E-7
8070000;7.793852550008751E-7
8080000;7.776438621931447E-7
8090000;7.75106523853708E-7
8100000;7.74750583687478E-7
8110000;7.76478529473934E-7
8120000;7.726292086118747E-7
8130000;7.734328546504798E-7
8140000;7.724733501746073E-7
8150000;7.700032664814671E-7
8160000;7.701127886505788E-7
8170000;7.687372161058192E-7
8180000;7.676548392510085E-7
8190000;7.656713298942464E-7
8200000;7.663889931563972E-7
8210000;7.65449360784487E-7
8220000;7.64575903033915E-7
8230000;7.630072627051732E-7
8240000;7.6229317524934E-7
8250000;7.623170636961163E-7
8260000;7.597485938148907E-7
8270000;7.581793264321846E-7
8280000;7.588038464234614E-7
8290000;7.574861635717411E-7
8300000;7.559538346413319E-7
8310000;7.547790348283456E-7
8320000;7.569961653075552E-7
8330000;7.554372398743681E-7
8340000;7.530546541900662E-7
8350000;7.522149640948328E-7
8360000;7.512972199918977E-7
8370000;7.497079357321468E-7
8380000;7.49827521850932E-7
