X,Y,
479000,1.31E-05,
480000,1.31E-05,
481000,1.31E-05,
482000,1.30E-05,
483000,1.30E-05,
484000,1.30E-05,
485000,1.30E-05,
486000,1.29E-05,
487000,1.29E-05,
488000,1.29E-05,
489000,1.28E-05,
490000,1.28E-05,
491000,1.28E-05,
492000,1.28E-05,
493000,1.27E-05,
494000,1.27E-05,
495000,1.27E-05,
496000,1.27E-05,
497000,1.26E-05,
498000,1.26E-05,
499000,1.26E-05,
500000,1.26E-05,
501000,1.25E-05,
502000,1.25E-05,
503000,1.25E-05,
504000,1.25E-05,
505000,1.24E-05,
506000,1.24E-05,
507000,1.24E-05,
508000,1.24E-05,
509000,1.23E-05,
510000,0.01232,
511000,1.23E-05,
512000,1.23E-05,
513000,1.22E-05,
514000,1.22E-05,
515000,1.22E-05,
516000,1.22E-05,
517000,1.22E-05,
518000,1.21E-05,
519000,1.21E-05,
520000,1.21E-05,
521000,1.21E-05,
522000,1.20E-05,
523000,1.20E-05,
524000,1.20E-05,
525000,1.20E-05,
526000,1.19E-05,
527000,1.19E-05,
528000,1.19E-05,
529000,1.19E-05,
530000,1.19E-05,
531000,1.18E-05,
532000,1.18E-05,
533000,1.18E-05,
534000,1.18E-05,
535000,1.17E-05,
536000,1.17E-05,
537000,1.17E-05,
538000,1.17E-05,
539000,1.17E-05,
540000,1.16E-05,
541000,1.16E-05,
542000,1.16E-05,
543000,1.16E-05,
544000,1.15E-05,
545000,1.15E-05,
546000,1.15E-05,
547000,1.15E-05,
548000,1.15E-05,
549000,1.14E-05,
550000,1.14E-05,
551000,1.14E-05,
552000,1.14E-05,
553000,1.14E-05,
554000,1.13E-05,
555000,1.13E-05,
556000,1.13E-05,
557000,1.13E-05,
558000,1.13E-05,
559000,0.01124,
560000,1.12E-05,
561000,1.12E-05,
562000,1.12E-05,
563000,1.12E-05,
564000,1.11E-05,
565000,1.11E-05,
566000,1.11E-05,
567000,1.11E-05,
568000,1.11E-05,
569000,1.10E-05,
570000,1.10E-05,
571000,1.10E-05,
572000,1.10E-05,
573000,1.10E-05,
574000,1.09E-05,
575000,1.09E-05,
576000,1.09E-05,
577000,1.09E-05,
578000,1.09E-05,
579000,1.09E-05,
580000,1.08E-05,
581000,1.08E-05,
582000,1.08E-05,
583000,1.08E-05,
584000,1.08E-05,
585000,1.07E-05,
586000,1.07E-05,
587000,1.07E-05,
588000,1.07E-05,
589000,1.07E-05,
590000,1.06E-05,
591000,1.06E-05,
592000,1.06E-05,
593000,1.06E-05,
594000,1.06E-05,
595000,1.06E-05,
596000,1.05E-05,
597000,1.05E-05,
598000,1.05E-05,
599000,1.05E-05,
600000,1.05E-05,
601000,1.05E-05,
602000,1.04E-05,
603000,1.04E-05,
604000,1.04E-05,
605000,1.04E-05,
606000,1.04E-05,
607000,1.04E-05,
608000,1.03E-05,
609000,1.03E-05,
610000,1.03E-05,
611000,1.03E-05,
612000,1.03E-05,
613000,1.02E-05,
614000,1.02E-05,
615000,1.02E-05,
616000,1.02E-05,
617000,1.02E-05,
618000,1.02E-05,
619000,1.02E-05,
620000,1.01E-05,
621000,1.01E-05,
622000,1.01E-05,
623000,1.01E-05,
624000,1.01E-05,
625000,1.01E-05,
626000,1.00E-05,
627000,1.00E-05,
628000,1.00E-05,
629000,0.009989,
630000,9.97E-06,
631000,9.96E-06,
632000,9.94E-06,
633000,9.93E-06,
634000,9.91E-06,
635000,9.89E-06,
636000,9.88E-06,
637000,9.86E-06,
638000,9.85E-06,
639000,9.83E-06,
640000,9.82E-06,
641000,9.80E-06,
642000,9.79E-06,
643000,9.77E-06,
644000,9.76E-06,
645000,9.74E-06,
646000,9.73E-06,
647000,9.71E-06,
648000,9.70E-06,
649000,9.68E-06,
650000,9.67E-06,
651000,9.65E-06,
652000,9.64E-06,
653000,9.62E-06,
654000,9.61E-06,
655000,9.59E-06,
656000,9.58E-06,
657000,9.56E-06,
658000,9.55E-06,
659000,9.53E-06,
660000,9.52E-06,
661000,9.51E-06,
662000,9.49E-06,
663000,9.48E-06,
664000,9.46E-06,
665000,9.45E-06,
666000,9.43E-06,
667000,9.42E-06,
668000,9.41E-06,
669000,9.39E-06,
670000,9.38E-06,
671000,9.36E-06,
672000,9.35E-06,
673000,9.34E-06,
674000,9.32E-06,
675000,9.31E-06,
676000,9.29E-06,
677000,9.28E-06,
678000,9.27E-06,
679000,9.25E-06,
680000,9.24E-06,
681000,9.23E-06,
682000,9.21E-06,
683000,9.20E-06,
684000,9.19E-06,
685000,9.17E-06,
686000,9.16E-06,
687000,9.15E-06,
688000,9.13E-06,
689000,9.12E-06,
690000,9.11E-06,
691000,9.09E-06,
692000,9.08E-06,
693000,9.07E-06,
694000,9.05E-06,
695000,9.04E-06,
696000,9.03E-06,
697000,9.01E-06,
698000,9.00E-06,
699000,8.99E-06,
700000,8.98E-06,
701000,8.96E-06,
702000,8.95E-06,
703000,8.94E-06,
704000,8.93E-06,
705000,8.91E-06,
706000,8.90E-06,
707000,8.89E-06,
708000,8.87E-06,
709000,8.86E-06,
710000,8.85E-06,
711000,8.84E-06,
712000,8.82E-06,
713000,8.81E-06,
714000,8.80E-06,
715000,8.79E-06,
716000,8.78E-06,
717000,8.76E-06,
718000,8.75E-06,
719000,8.74E-06,
720000,8.73E-06,
721000,8.71E-06,
722000,8.70E-06,
723000,8.69E-06,
724000,8.68E-06,
725000,8.67E-06,
726000,8.65E-06,
727000,8.64E-06,
728000,8.63E-06,
729000,8.62E-06,
730000,8.61E-06,
731000,8.60E-06,
732000,8.58E-06,
733000,8.57E-06,
734000,8.56E-06,
735000,8.55E-06,
736000,8.54E-06,
737000,8.53E-06,
738000,8.51E-06,
